Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash S,2,first_return,Forehand,Topspin,35.605431,18,3,1,out,deuce_alley,near,4.471289,-1.739195,deep,ad,far,1.422987,24.303934,0.99123,inside in,Out,false,18:52:45,688.309998
Pash S,1,first_serve,Serve,Slice,80.219284,19,4,1,short,deuce,far,-3.158415,17.648079,out,deuce,near,0.866028,-0.661566,2.638704,out wide,In,false,18:53:48,751.580017
Opponent,2,first_return,Forehand,Slice,51.329788,19,4,1,short,deuce,far,-2.240155,12.058448,deep,deuce_alley,far,-4.703176,24.538801,1.00075,down the line,Net,false,18:53:49,752.659973
Opponent,2,none,Feed,Topspin,18.186579,19,4,1,deep,ad,near,-1.326415,4.570627,deep,ad,far,1.139671,22.00124,1.401589,---,In,false,18:53:58,761.890015
Pash S,1,first_serve,Serve,Flat,55.367832,20,4,1,short,deuce,near,1.457847,5.558846,deep,ad,near,-1.941615,-0.503543,2.278159,out wide,Net,false,18:54:11,774.330017
Pash S,1,first_serve,Serve,Flat,46.25806,20,4,1,short,deuce,near,2.400657,10.666922,deep,ad,near,-1.514126,-0.521797,2.166304,out wide,Net,false,18:54:16,779.869995
Pash S,1,first_serve,Serve,Slice,74.277222,21,4,1,short,deuce,far,-4.039257,17.986076,deep,deuce,near,0.989035,0.258344,2.711455,out wide,In,false,18:54:42,806.030029
Opponent,0,none,Feed,Topspin,17.320551,22,4,1,short,center_line,near,0,8.123842,deep,ad,far,0.791011,24.693888,1.257064,---,In,false,18:54:48,811.840027
Opponent,1,none,Forehand,Flat,50.430958,22,4,1,deep,ad_alley,near,-4.942925,1.490953,short,deuce_alley,far,-4.884865,14.492272,2.304821,down the line,Out,false,18:54:49,813
Pash S,1,first_serve,Serve,Slice,64.753555,22,4,1,short,deuce,near,1.668428,10.462137,deep,ad,near,-2.310454,-0.222704,2.288575,out wide,Net,false,18:55:00,823.950012
Pash S,1,first_serve,Serve,Flat,52.029999,22,4,1,deep,ad,far,1.767631,19.447691,out,ad,near,-2.618546,-0.745388,2.338596,down the T,Out,false,18:55:06,829.890015
Opponent,2,first_return,Forehand,Flat,26.988136,22,4,1,short,ad,near,-0.280308,7.558886,deep,ad,far,1.970186,22.326876,1.595136,inside out,In,false,18:55:08,831.320007
Pash S,3,serve_plus_one,Forehand,Topspin,48.487724,22,4,1,deep,deuce,far,-3.844986,23.120365,deep,ad,near,-0.511814,3.304435,1.21589,inside in,In,false,18:55:10,833.52002
Opponent,6,none,Feed,Flat,18.186579,22,4,1,short,deuce,near,1.587504,5.763885,short,deuce,far,-0.380306,12.618612,2.357039,---,In,false,18:55:20,844.219971
Pash S,1,first_serve,Serve,Flat,81.017197,23,4,1,deep,deuce,far,-1.43294,19.519981,deep,deuce,near,0.971255,-0.523754,2.686488,down the T,Out,false,18:55:39,862.690002
Opponent,1,none,Backhand,Slice,39.274483,23,4,1,short,deuce,far,-1.914758,16.983145,deep,deuce,far,-2.357913,24.107561,0.947891,inside out,Net,false,18:55:40,863.73999
Pash S,1,first_serve,Serve,Flat,39.776855,23,4,1,short,deuce,far,-0.636017,12.111128,deep,deuce,near,0.761311,0.174015,2.773354,down the T,In,false,18:55:46,869.330017
Opponent,2,first_return,Backhand,Flat,35.271553,23,4,1,deep,deuce,near,0.692315,1.351678,deep,deuce,far,-1.525015,22.33576,1.018044,inside out,In,false,18:55:47,870.859985
Pash S,3,serve_plus_one,Forehand,Flat,47.050133,23,4,1,deep,ad,far,1.639739,18.596231,out,deuce,near,0.499401,-1.146922,1.230102,down the line,In,false,18:55:49,872.76001
Opponent,4,return_plus_one,Backhand,Topspin,53.987286,23,4,1,deep,ad,near,-2.603122,3.337409,out,ad,far,1.908748,25.345572,0.8177,cross court,In,false,18:55:51,874.349976
Pash S,5,in_play,Backhand,Flat,44.178848,23,4,1,deep,deuce,far,-1.08992,18.318195,out,ad,near,-2.805992,-1.486022,0.901842,down the line,In,false,18:55:52,875.869995
Opponent,6,in_play,Forehand,Flat,54.249985,23,4,1,out,deuce_alley,near,4.270711,-1.136285,out,deuce,far,-0.593329,25.563623,1.087855,down the line,Out,false,18:55:54,877.599976
Pash S,0,none,Feed,Flat,19.918634,24,5,1,short,ad,far,1.88354,14.276352,deep,deuce,near,2.83251,2.191265,1.261093,---,In,false,18:56:03,887.059998
Opponent,1,first_serve,Serve,Flat,62.922188,24,5,1,deep,deuce,near,0.905104,5.146159,deep,deuce,far,-1.318933,23.653868,2.658568,down the T,Out,false,18:56:24,908.22998
Pash S,2,none,Backhand,Topspin,47.619484,24,5,1,deep,deuce,far,-0.078167,21.069962,out,deuce,near,1.311029,-1.087459,1.1105,inside out,In,false,18:56:26,909.330017
