Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Opponent,3,none,Forehand,Topspin,46.158749,193,0,0,service_box,ad,far,1.622362,16.868355,no_mans_land,deuce,near,1.100419,-0.165901,0.456158,down the line,In,false,20:19:01,
Pash Sunuwar,4,none,Backhand,Slice,25.326277,193,0,0,service_box,deuce,far,-1.639678,11.983856,no_mans_land,ad,far,0.928119,22.571466,0.580458,down the line,Net,false,20:19:03,
Pash Sunuwar,1,first_serve,Serve,Slice,49.030403,194,0,0,service_box,deuce,near,1.024512,7.01403,no_mans_land,deuce,far,-1.425236,22.746178,2.586244,down the T,In,false,20:19:24,
Opponent,2,return,Backhand,Topspin,42.206699,194,0,0,service_box,deuce,far,-2.700744,17.894051,out,deuce,near,1.383085,-0.602969,1.022822,inside out,In,false,20:19:26,
Pash Sunuwar,3,serve_plus_one,Forehand,Slice,34.135887,194,0,0,service_box,deuce,near,0.918548,7.260155,no_mans_land,deuce,far,-3.480914,22.985071,0.708514,cross court,In,false,20:19:28,
Opponent,4,return_plus_one,Forehand,Topspin,43.098122,194,0,0,no_mans_land,ad,far,1.98292,23.552292,no_mans_land,deuce,near,1.28295,4.782993,0.926016,down the line,In,false,20:19:29,
Pash Sunuwar,5,in_play,BH Volley,Flat,18.186579,194,0,0,service_box,deuce,near,1.064125,5.979635,no_mans_land,ad,far,2.061301,22.149092,0.639551,down the line,In,false,20:19:31,
Opponent,6,in_play,FH Volley,Flat,19.052607,194,0,0,service_box,deuce,near,1.24442,5.766081,service_box,deuce,near,1.24442,5.240834,0.701942,cross court,Net,false,20:19:31,
Pash Sunuwar,1,first_serve,Serve,Slice,54.347443,195,0,0,no_mans_land,ad,near,-1.403332,3.974485,no_mans_land,ad,far,1.564871,23.804047,2.400226,down the T,Out,false,20:19:53,
Opponent,2,return,Forehand,Topspin,35.500393,195,0,0,service_box,ad,far,2.580063,15.45351,out,ad,near,-1.606277,-1.99181,1.091796,inside out,In,false,20:19:55,
Pash Sunuwar,1,second_serve,Serve,Flat,50.635715,196,0,0,service_box,ad,near,-2.213829,7.430004,no_mans_land,ad,far,0.613978,23.632326,2.398494,out wide,In,false,20:20:05,
Opponent,2,return,Forehand,Topspin,40.015137,196,0,0,service_box,ad,far,3.141628,17.709486,out,ad,near,-4.061157,-1.007234,0.783597,inside out,In,false,20:20:06,
Pash Sunuwar,3,serve_plus_one,Backhand,Slice,40.485855,196,0,0,no_mans_land,deuce,near,0.269294,3.880653,no_mans_land,ad,far,3.632442,23.387743,0.861646,down the line,In,false,20:20:08,
Opponent,4,return_plus_one,Forehand,Topspin,45.085911,196,0,0,service_box,deuce,far,-0.549876,15.728506,out,ad,near,-0.851582,-0.984485,1.021179,inside in,In,false,20:20:10,
Pash Sunuwar,5,in_play,Forehand,Topspin,38.693916,196,0,0,service_box,ad,far,1.121364,15.781184,no_mans_land,ad,far,0.341272,23.049139,0.731082,inside out,Net,false,20:20:12,
Opponent,6,in_play,Forehand,Topspin,22.192984,196,0,0,service_box,deuce,far,-1.939526,17.650137,service_box,deuce,near,1.121364,10.494263,0.245866,cross court,In,false,20:20:13,
Pash Sunuwar,7,in_play,Forehand,Flat,45.590958,196,0,0,no_mans_land,deuce,near,0.01987,4.072317,out,deuce,far,-2.817105,25.432781,0.618369,cross court,In,false,20:20:15,
Opponent,0,none,Feed,Topspin,23.382744,197,0,0,no_mans_land,ad,far,0.85131,19.377274,no_mans_land,ad,near,-0.669277,-0.262415,0.696017,---,In,false,20:20:16,
Pash Sunuwar,1,none,Forehand,Topspin,49.891266,197,0,0,no_mans_land,deuce,near,1.697202,3.261124,no_mans_land,ad,far,1.793727,24.315954,0.9869,inside in,In,false,20:20:18,
Opponent,2,none,Forehand,Topspin,42.297405,197,0,0,no_mans_land,ad,far,1.231982,20.762455,out,deuce,near,1.841443,-0.875443,1.072828,down the line,In,false,20:20:19,
Pash Sunuwar,3,none,Forehand,Topspin,37.077221,197,0,0,no_mans_land,deuce,near,1.637448,3.051307,no_mans_land,ad,far,0.106846,21.896236,1.002059,inside in,In,false,20:20:21,
Opponent,4,none,Forehand,Topspin,42.823273,197,0,0,service_box,deuce,far,-1.050941,15.094191,out,deuce,near,2.022916,-0.811887,1.01855,cross court,In,false,20:20:23,
Pash Sunuwar,5,none,FH Volley,Flat,19.918634,197,0,0,service_box,deuce,near,0.125609,10.115596,service_box,deuce,far,-1.050941,16.302979,1.041143,cross court,In,false,20:20:24,
